featureset	feature	threshold	median_nonzero	n_nonzero	n_total
region	hsat2	0.001	2.095250068095627e-05	7	4005
region	hsat3	0.001	0.00266322874194183	654	4005
region	hsat_multigroup1	0.001	9.171787581399614e-05	61	4005
region	inactive	0.001	0.0003276003276003276	157	4005
region	monomeric	0.001	0.00025646779726220625	1277	4005
region	noncentromeric	0.0015379257487916646	0.004613777246374994	60	4005
region	novel	0.0017610801291458762	0.005283240387437629	3431	4005
region	p_arm	0.04933847184250689	0.14801541552752068	3533	4005
region	q_arm	0.05	0.19390980942833635	3652	4005
region_subtelomere_flat	ITS	0.001	0.0015895335330439568	3253	4005
region_subtelomere_flat	TAR1	0.001	0.0028696304798905125	3017	4005
region_subtelomere_flat	active	0.05	0.80345298349453	234	4005
region_subtelomere_flat	arm_multigroup1	0.003667481662591687	0.011002444987775062	3897	4005
region_subtelomere_flat	asat_multigroup1	0.001	0.0010828099751786636	265	4005
region_subtelomere_flat	bsat	0.001	5.804739357786794e-05	790	4005
region_subtelomere_flat	canonical_telomere	0.010115594925396995	0.030346784776190988	3286	4005
region_subtelomere_flat	censat	0.001	0.0001356340162530414	836	4005
region_subtelomere_flat	centromeric_multigroup1	0.001	0.0020989667318277224	2113	4005
region_subtelomere_flat	ct	0.025729197151497418	0.07718759145449225	3615	4005
region_subtelomere_flat	divergent	0.001	0.00017256893512640673	269	4005
region_subtelomere_flat	gsat	0.001	0.00013578961662064908	119	4005
region_subtelomere_flat	hor_multigroup1	0.005526443890845574	0.016579331672536723	229	4005
region_subtelomere_flat	hsat1A	0.05	0.6425751025546363	36	4005
region_subtelomere_flat	hsat1B	0.001	3.708281829419036e-05	25	4005
region_subtelomere_flat	hsat1_multigroup1	0.001	0.0011362272454490897	19	4005
region_subtelomere_flat	hsat2	0.001	2.095250068095627e-05	7	4005
region_subtelomere_flat	hsat3	0.001	0.00266322874194183	654	4005
region_subtelomere_flat	hsat_multigroup1	0.001	9.171787581399614e-05	61	4005
region_subtelomere_flat	inactive	0.001	0.0003276003276003276	157	4005
region_subtelomere_flat	monomeric	0.001	0.00025646779726220625	1277	4005
region_subtelomere_flat	noncanonical_telomere	0.001	0.002525129484542929	3298	4005
region_subtelomere_flat	noncentromeric	0.0015379257487916646	0.004613777246374994	60	4005
region_subtelomere_flat	novel	0.0017425820775216951	0.005227746232565085	3418	4005
region_subtelomere_flat	p_arm	0.019997733967822343	0.059993201903467026	3293	4005
region_subtelomere_flat	q_arm	0.05	0.20305582587324944	3444	4005
repeat	Class_I_Retrotransposition_multigroup1	0.0014632237535578691	0.004389671260673607	3076	4005
repeat	D20S16	0.0025160506680548325	0.0075481520041644976	9	4005
repeat	DNA	0.006144121861688554	0.018432365585065662	2847	4005
repeat	Interspersed_Repeat_multigroup1	0.001	0.00046317345426282114	416	4005
repeat	LINE	0.04350802159721734	0.13052406479165202	3602	4005
repeat	LINE-dependent_Retroposon_multigroup1	0.001	0.0008488304283029871	1197	4005
repeat	LTR	0.029914805837345126	0.08974441751203538	3446	4005
repeat	RC	0.001	0.001061382271873172	38	4005
repeat	RNA_multigroup1	0.001	0.0001942810717250393	1	4005
repeat	Retroposon	0.001	0.0003994354645434453	461	4005
repeat	SINE	0.028055626625239406	0.08416687987571822	3470	4005
repeat	Transposable_Element_multigroup1	0.001	0.0010849889286035268	2036	4005
repeat	Unknown	0.001	0.0017299541562148604	537	4005
repeat	nonrepeat	0.05	0.5811815885489756	4005	4005
repeat	novel	0.0021935735034288623	0.006580720510286587	3191	4005
repeat	rRNA	0.001	0.00033897103950211315	72	4005
repeat	repeat_multigroup1	0.0017060479399471126	0.0051181438198413375	9	4005
repeat	scRNA	0.001	0.0005231650811352373	60	4005
repeat	snRNA	0.001	0.0009081277433025579	249	4005
repeat	tRNA	0.001	0.0007080339686982044	50	4005
subtelomere_acrocentric_flat	DJ	0.0014031683319462834	0.00420950499583885	3084	4005
subtelomere_acrocentric_flat	DJ_ITS	0.001	0.00033631972795470895	2059	4005
subtelomere_acrocentric_flat	DJ_TAR1	0.001	0.00047015834962980203	2432	4005
subtelomere_acrocentric_flat	ITS	0.001	0.0024788539871030482	2692	4005
subtelomere_acrocentric_flat	PHR	0.006670548996770608	0.020011646990311823	3525	4005
subtelomere_acrocentric_flat	PHR_ITS	0.001	0.0003191828917969997	2067	4005
subtelomere_acrocentric_flat	PHR_TAR1	0.001	0.00027871846170310377	1962	4005
subtelomere_acrocentric_flat	PJ	0.001	0.0004599947868632005	4	4005
subtelomere_acrocentric_flat	SST1	0.001	2.687745576919814e-05	358	4005
subtelomere_acrocentric_flat	TAR1	0.004915606078261282	0.014746818234783847	2193	4005
subtelomere_acrocentric_flat	acrocentric_multigroup1	0.001	0.0007918642176979162	15	4005
subtelomere_acrocentric_flat	array_multigroup1	0.001	0.00034869819341126464	2107	4005
subtelomere_acrocentric_flat	canonical_telomere	0.010115594925396995	0.030346784776190988	3286	4005
subtelomere_acrocentric_flat	nonacrocentric	0.05	0.8547397449155464	3957	4005
subtelomere_acrocentric_flat	noncanonical_telomere	0.001	0.002525129484542929	3298	4005
subtelomere_acrocentric_flat	rDNA	0.001	0.0005462988254575252	2445	4005
subtelomere_acrocentric_flat	rDNA_ITS	0.001	2.9854158715300125e-05	230	4005
subtelomere_acrocentric_flat	rDNA_TAR1	0.001	0.00019079357407242523	1187	4005
subtelomeric	ITS	0.001	0.0015895335330439568	3253	4005
subtelomeric	TAR1	0.001	0.0028696304798905125	3017	4005
subtelomeric	canonical_telomere	0.010115594925396995	0.030346784776190988	3286	4005
subtelomeric	noncanonical_telomere	0.001	0.002525129484542929	3298	4005
subtelomeric	nonsubtelomeric	0.05	0.916863253173146	3778	4005
subtelomeric	novel	0.001	0.002425478154314752	3232	4005
subtelomeric	telomere_like_multigroup1	0.001	0.0012919839321711539	3456	4005
