featureset	feature	threshold	median_nonzero	n_nonzero	n_total
region_subtelomere_flat	hsat3	0.001	0.0005575676733571371	432	2197
region_subtelomere_flat	hsat_multigroup1	0.001	2.3012664636438255e-05	45	2197
region_subtelomere_flat	inactive	0.001	1.7828034308615915e-05	4	2197
region_subtelomere_flat	monomeric	0.001	0.0001911446506258076	939	2197
region_subtelomere_flat	noncanonical_telomere	0.0033133107112835384	0.009939932133850615	1896	2197
region_subtelomere_flat	noncentromeric	0.001	1.6513616372862664e-05	18	2197
region_subtelomere_flat	novel	0.00250696011294515	0.007520880338835451	1971	2197
region_subtelomere_flat	p_arm	0.0299166005830937	0.0897498017492811	2024	2197
region_subtelomere_flat	q_arm	0.05	0.16663155677269856	2123	2197
repeat	Class_I_Retrotransposition_multigroup1	0.002071380621684734	0.006214141865054202	1919	2197
repeat	D20S16	0.003965703737203035	0.011897111211609105	9	2197
repeat	DNA	0.005516630204003853	0.016549890612011557	1764	2197
repeat	Interspersed_Repeat_multigroup1	0.001	0.0007458526666195602	467	2197
repeat	LINE	0.046877152215631344	0.14063145664689403	2124	2197
repeat	LINE-dependent_Retroposon_multigroup1	0.001	0.0005157120264044558	835	2197
repeat	LTR	0.03776139525790823	0.1132841857737247	2098	2197
repeat	RC	0.001	0.00058056275883423	37	2197
repeat	Retroposon	0.001	0.00038394453051378996	576	2197
repeat	SINE	0.024677864798428345	0.07403359439528504	2076	2197
repeat	Transposable_Element_multigroup1	0.001	0.0010770784247728037	1509	2197
repeat	Unknown	0.001	0.0025682810977545965	576	2197
repeat	nonrepeat	0.05	0.5394007438074521	2197	2197
repeat	novel	0.0025901959499112694	0.007770587849733808	1876	2197
repeat	rRNA	0.001	0.00043280445615674813	100	2197
repeat	repeat_multigroup1	0.001	0.0013313884619526378	9	2197
repeat	scRNA	0.001	0.0006413444674223188	33	2197
repeat	snRNA	0.001	0.000600649423963654	241	2197
repeat	tRNA	0.001	0.00026524510652949996	38	2197
subtelomere_acrocentric_flat	DJ	0.0015773378400128762	0.004732013520038629	1855	2197
subtelomere_acrocentric_flat	DJ_ITS	0.001	0.0002627269676431516	1322	2197
subtelomere_acrocentric_flat	DJ_TAR1	0.001	0.0004137663238488882	1572	2197
subtelomere_acrocentric_flat	ITS	0.001	0.0026714650004967602	1971	2197
subtelomere_acrocentric_flat	PHR	0.005894214363269738	0.017682643089809214	1969	2197
subtelomere_acrocentric_flat	PHR_ITS	0.001	0.00029290143995742925	1404	2197
subtelomere_acrocentric_flat	PHR_TAR1	0.001	0.00027641813132838047	1449	2197
subtelomere_acrocentric_flat	SST1	0.001	2.016419100443318e-05	306	2197
subtelomere_acrocentric_flat	TAR1	0.009037764160071592	0.027113292480214775	1850	2197
subtelomere_acrocentric_flat	acrocentric_multigroup1	0.001	0.00014054418709242187	13	2197
subtelomere_acrocentric_flat	array_multigroup1	0.001	0.00036783966649203573	1429	2197
subtelomere_acrocentric_flat	canonical_telomere	0.0124227746420613	0.0372683239261839	1735	2197
subtelomere_acrocentric_flat	nonacrocentric	0.05	0.8644338118022329	2189	2197
subtelomere_acrocentric_flat	noncanonical_telomere	0.0033133107112835384	0.009939932133850615	1896	2197
subtelomere_acrocentric_flat	rDNA	0.001	0.0005184520045674698	1592	2197
subtelomere_acrocentric_flat	rDNA_ITS	0.001	1.969667774396712e-05	192	2197
subtelomere_acrocentric_flat	rDNA_TAR1	0.001	0.00016691561345767833	957	2197
subtelomeric	ITS	0.001	0.002954452215220872	2054	2197
subtelomeric	TAR1	0.007113517610371926	0.02134055283111578	2033	2197
subtelomeric	canonical_telomere	0.0124227746420613	0.0372683239261839	1735	2197
subtelomeric	noncanonical_telomere	0.0033133107112835384	0.009939932133850615	1896	2197
subtelomeric	nonsubtelomeric	0.05	0.911987547733563	2166	2197
subtelomeric	novel	0.001	0.0017545836485681632	1831	2197
subtelomeric	telomere_like_multigroup1	0.001	0.0025926915944258517	2000	2197
