combined	chromosome	haplotype	region	subtelomeric	acrocentric	repeat	gene
72	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	exon_specific
73	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	exon_specific
74	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Interspersed_Repeat_multigroup1	exon_specific
75	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	Interspersed_Repeat_multigroup1	exon_specific
76	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	DJ_specific	Interspersed_Repeat_multigroup1	exon_specific
77	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	DJ_specific	Interspersed_Repeat_multigroup1	exon_specific
78	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	PHR_specific	Interspersed_Repeat_multigroup1	exon_specific
79	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	DJ_specific	Interspersed_Repeat_multigroup1	exon_specific
80	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	DJ_specific	SINE_specific	exon_specific
81	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	SINE_specific	exon_specific
82	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	exon_specific
83	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	PHR_specific	SINE_specific	exon_specific
84	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	PHR_specific	SINE_specific	exon_specific
85	categorized	hap1_specific_repetitive	centromeric_multigroup1	telomere_like_multigroup1	PHR_specific	SINE_specific	exon_specific
86	categorized	hap1_specific_repetitive	centromeric_multigroup1	telomere_like_multigroup1	DJ_specific	Interspersed_Repeat_multigroup1	exon_specific
87	categorized	hap1_specific_repetitive	centromeric_multigroup1	telomere_like_multigroup1	DJ_specific	Class_I_Retrotransposition_multigroup1	exon_specific
88	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	DJ_specific	Class_I_Retrotransposition_multigroup1	exon_specific
89	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	PHR_specific	Class_I_Retrotransposition_multigroup1	exon_specific
90	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	exon_specific
91	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	SINE_specific	exon_specific
92	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	exon_specific
93	categorized	hap1_specific_repetitive	centromeric_multigroup1	telomere_like_multigroup1	array_multigroup1	SINE_specific	exon_specific
94	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	rDNA_specific	SINE_specific	exon_specific
95	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	PHR_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
96	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	exon_specific
97	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
98	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
99	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
100	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
101	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
102	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	exon_specific
103	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
104	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
105	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
106	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
107	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	exon_specific
108	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	exon_specific
109	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	intron_specific
110	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	exon_specific
111	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	DJ_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
112	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	DJ_specific	SINE_specific	exon_specific
113	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	intron_specific
114	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	Transposable_Element_multigroup1	exon_specific
115	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	Class_I_Retrotransposition_multigroup1	exon_specific
116	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	exon_specific
117	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	intron_specific
118	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
119	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	DNA_specific	intron_specific
120	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	DNA_specific	intron_specific
121	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	DNA_specific	exon_specific
122	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	exon_specific
123	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	rDNA_specific	Class_I_Retrotransposition_multigroup1	exon_specific
124	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	array_multigroup1	LINE-dependent_Retroposon_multigroup1	exon_specific
125	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
126	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
127	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	PHR_specific	Interspersed_Repeat_multigroup1	exon_specific
128	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
129	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	intron_specific
130	chr1_specific	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
131	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	intron_specific
132	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	exon_specific
133	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	exon_specific
134	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	intron_specific
135	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
136	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	rDNA_specific	SINE_specific	exon_specific
137	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	DJ_specific	SINE_specific	exon_specific
138	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	DJ_specific	Transposable_Element_multigroup1	exon_specific
139	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	DJ_specific	Class_I_Retrotransposition_multigroup1	exon_specific
140	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	intron_specific
141	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	PHR_specific	Transposable_Element_multigroup1	exon_specific
142	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	SINE_specific	intron_specific
143	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	array_multigroup1	SINE_specific	exon_specific
144	autosome_multigroup1	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
145	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Retroposon_specific	intron_specific
146	chr1_specific	hap1_specific_nonrepetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
147	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	DJ_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
148	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	DJ_specific	SINE_specific	exon_specific
149	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	array_multigroup1	SINE_specific	exon_specific
150	categorized	hap1_specific_repetitive	ct_specific	TAR1_specific	PHR_specific	Transposable_Element_multigroup1	exon_specific
151	categorized	hap1_specific_repetitive	ct_specific	TAR1_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	exon_specific
152	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE-dependent_Retroposon_multigroup1	intron_specific
153	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LINE-dependent_Retroposon_multigroup1	intron_specific
154	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
155	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	PHR_specific	Class_I_Retrotransposition_multigroup1	exon_specific
156	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	DJ_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
157	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	PHR_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
158	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	DNA_specific	intron_specific
159	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	SST1_specific	Interspersed_Repeat_multigroup1	exon_specific
160	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	array_multigroup1	Interspersed_Repeat_multigroup1	exon_specific
161	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	rDNA_specific	Interspersed_Repeat_multigroup1	exon_specific
162	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	exon_specific
163	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	intron_specific
164	chr1_specific	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
165	categorized	hap1_specific_repetitive	ct_specific	ITS_specific	PHR_specific	SINE_specific	exon_specific
166	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
167	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE-dependent_Retroposon_multigroup1	exon_specific
168	metacentric_multigroup1	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
169	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Class_I_Retrotransposition_multigroup1	exon_specific
170	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	exon_specific
171	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
172	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	PHR_specific	LINE_specific	exon_specific
173	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	DJ_specific	Transposable_Element_multigroup1	exon_specific
174	categorized	hap1_specific_repetitive	monomeric_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	exon_specific
175	categorized	hap1_specific_repetitive	monomeric_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
176	autosome_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Unknown_specific	intron_specific
177	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Unknown_specific	intron_specific
178	categorized	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
179	metacentric_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
180	chr1_specific	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Transposable_Element_multigroup1	intron_specific
181	metacentric_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
182	metacentric_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	LTR_specific	intron_specific
183	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	SST1_specific	Transposable_Element_multigroup1	exon_specific
184	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
185	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	array_multigroup1	Class_I_Retrotransposition_multigroup1	exon_specific
186	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	rDNA_specific	Class_I_Retrotransposition_multigroup1	exon_specific
187	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	intron_specific
188	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	rDNA_specific	Transposable_Element_multigroup1	exon_specific
189	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	array_multigroup1	Transposable_Element_multigroup1	exon_specific
190	metacentric_multigroup1	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	LINE_specific	intron_specific
191	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	LINE_specific	exon_specific
192	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	LINE_specific	intron_specific
193	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	DJ_specific	LINE_specific	exon_specific
194	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	Interspersed_Repeat_multigroup1	exon_specific
195	categorized	hap1_specific_repetitive	arm_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Interspersed_Repeat_multigroup1	exon_specific
196	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	PHR_specific	LINE_specific	intron_specific
197	categorized	hap1_specific_repetitive	centromeric_multigroup1	nonsubtelomeric_specific	nonacrocentric_specific	Interspersed_Repeat_multigroup1	exon_specific
198	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	PHR_specific	Interspersed_Repeat_multigroup1	exon_specific
199	categorized	hap1_specific_repetitive	centromeric_multigroup1	ITS_specific	PHR_specific	Transposable_Element_multigroup1	exon_specific
200	categorized	hap1_specific_repetitive	centromeric_multigroup1	TAR1_specific	PHR_specific	Transposable_Element_multigroup1	exon_specific
201	chr1_specific	hap1_specific_repetitive	p_arm_specific	nonsubtelomeric_specific	nonacrocentric_specific	SINE_specific	intron_specific
202	categorized	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	nonacrocentric_specific	nonrepeat_specific	exon_specific
203	autosome_multigroup1	hap1_specific_repetitive	ct_specific	nonsubtelomeric_specific	PHR_specific	LINE_specific	intron_specific
